Date;Weekday;Sett;Volume1HPM;Return1H;ReturnGME;T21;ReturnSPY;FTD;Beta 3M;Beta4W;Beta2W;Beta1W;BTC;MaxPain;RGME_PD;RAMC_PD;TenYCPD;Weight;RSIPD;SP1H;AMC1H;MACDHISTPD;mPlastPrice;EarningsPD;VIXPD;ShareOff;FTDcover;StreakPD;DiffMeanPD;PDCallPut;PDOIChg;VolumePD;CFastStochPD;CSlowStochPD;DiffFastSlow;CDiffFastSlow;PricePD;Days;Cycle;WSBPD;WSBposPD;CWSBPD;CWSBposPD
10.02.2021;3;1;29830;-0,42;1,77;0;-0,11;0;-16,21;-33,27;-42,27;-42,26;0,62;-12,86;-16,15;-11;-0,7;1;46,31;0,24;3,82;-2,05;21,25;0,00;21,63;0,00;799328;1;-51,65;-125199;4617;26,84;-0,46;-2,01;-1,18;1,55;50,31;1,00;0,00;0,109;0,739;-0,069;-0,024
11.02.2021;4;1;11460;-3,00;-0,2;0;-0,03;0;-16,21;-34,51;-41,2;-37,32;-3,36;-1,64;1,77;5,45;-3,1;1;46,4;0,5;-0,53;-0,7;17,19;0,00;21,99;0,00;555658;2;-52,32;-52369;9154;36,46;-1,39;-1,49;-1,08;0,1;51,20;2,00;0,00;0,113;0,724;0,004;-0,014
12.02.2021;5;0;2530;-0,56;2,54;0;0,17;0;-16,28;-34,38;-41,24;-23,23;6,66;0;-0,2;-3,28;3,7;1;46,39;-0,16;-0,88;1,08;17,42;0,00;21,25;0,00;99084;3;-53,41;-41900;27802;13,00;-1,44;-1,09;-1,43;-0,35;51,10;3,00;0,00;0,093;0,722;-0,021;-0,002
16.02.2021;2;0;9520;1,35;-5,52;0;0,47;0;-16,42;-35,42;-40,02;-22,77;-1,59;25;2,54;-0,36;4,3;1;46,55;0,38;16,97;-0,87;43,13;0,00;19,97;0,00;662524;4;-52,73;-23655;32790;14,50;-0,54;-1,13;-0,84;0,59;52,40;4,00;0,00;0,157;0,754;0,064;0,032
17.02.2021;3;0;6380;-0,58;-7,21;0;-0,06;0;-17,26;-35,49;-32,39;10,81;2,62;-6,67;-5,52;1,07;10,6;1;46,22;0,13;0;1,89;41,39;0,00;21,46;0,00;621483;5;-56,32;-7854;141374;8,18;-0,45;-0,8;-0,49;0,35;49,51;5,00;0,00;0,069;0,722;-0,088;-0,032
18.02.2021;4;0;6204;1,22;-11,43;0;-0,03;0;-17,6;-35,41;-30,7;5,88;5,99;-14,29;-7,21;-1,77;-4,2;1;45,78;-0,4;-1,28;1,05;30,61;0,00;21,50;0,00;892653;6;-60,22;-25301;42331;9,19;-0,24;-0,42;-0,31;0,18;45,94;6,00;0,00;0,091;0,701;0,022;-0,021
19.02.2021;5;0;4728;2,66;-0,25;0;-0,44;0;-18,11;-35,23;-26,43;21,25;-0,9;-16,67;-11,43;-0,72;2,4;1;45,11;0,3;0,89;0,93;22,88;0,00;22,49;0,00;0;7;-65,55;62597;29834;23,99;-0,44;-0,37;-0,38;-0,07;40,69;7,00;0,00;0,136;0,752;0,045;0,051
22.02.2021;1;0;101152;14,11;13,33;0;-0,19;0;-18,02;-36,21;-25,26;15,45;2,57;0;-0,25;3,45;4,2;1;45,1;-0,61;-0,17;1,16;23,18;0,00;22,05;0,00;1498576;0;-65,53;-45012;52360;14,83;0,01;-0,229;-0,141;0,239;40,59;8,00;0,00;0,116;0,759;-0,020;0,006
23.02.2021;2;0;11944;0,42;-2,24;0;-0,77;0;-18,95;-36,73;-11,33;13,51;-5,79;-8;13,33;14,91;2,4;1;46,04;-0,34;2,32;1,63;0,00;0,00;23,45;0,00;1007562;-1;-59,17;37448;209139;19,48;1,99;0,519;1,33;1,471;46,00;9,00;0,00;0,131;0,800;0,015;0,041
24.02.2021;3;1;2327;-2,58;103,94;0;0,13;21;-18,77;-38,24;-13,72;-5,58;-9,93;-2,17;-2,24;17,56;-1,5;1;45,88;0,26;1,09;8,55;0,07;0,00;23,11;0,00;1438994;-2;-58,60;-24005;27432;7,57;2,88;1,63;2,58;1,25;44,97;10,00;0,00;0,072;0,750;-0,059;-0,050
